Name;PartNumber;diametreVis;Longueur;LongueurFiletee;hauteurTete;pas;diametreTete;LargeurEmpreinte
6*40CHC;6*40CHC;0,006 m;0,04 m;0,018 m;0,006 m;0,001 m;0,01 m;0,005 m
10*80CHC;10*80CHC;0,01 m;0,08 m;0,026 m;0,01 m;0,0015 m;0,016 m;0,008 m
5*16CHC;5*16CHC;0,005 m;0,016 m;0,016 m;0,005 m;0,0008 m;0,0085 m;0,004 m
8*75CHC;8*75CHC;0,008 m;0,075 m;0,022 m;0,008 m;0,00125 m;0,013 m;0,006 m
3*25CHC;3*25CHC;0,003 m;0,025 m;0,012 m;0,003 m;0,0005 m;0,0055 m;0,0025 m
16*90CHC;16*90CHC;0,016 m;0,09 m;0,038 m;0,016 m;0,002 m;0,024 m;0,014 m
12*110CHC;12*110CHC;0,012 m;0,11 m;0,03 m;0,012 m;0,00175 m;0,018 m;0,01 m
16*130CHC;16*130CHC;0,016 m;0,13 m;0,044 m;0,016 m;0,002 m;0,024 m;0,014 m
10*100CHC;10*100CHC;0,01 m;0,1 m;0,026 m;0,01 m;0,0015 m;0,016 m;0,008 m
10*25CHC;10*25CHC;0,01 m;0,025 m;0,025 m;0,01 m;0,0015 m;0,016 m;0,008 m
16*35CHC;16*35CHC;0,016 m;0,035 m;0,035 m;0,016 m;0,002 m;0,024 m;0,014 m
4*8CHC;4*8CHC;0,004 m;0,008 m;0,008 m;0,004 m;0,0007 m;0,007 m;0,003 m
12*40CHC;12*40CHC;0,012 m;0,04 m;0,04 m;0,012 m;0,00175 m;0,018 m;0,01 m
8*16CHC;8*16CHC;0,008 m;0,016 m;0,016 m;0,008 m;0,00125 m;0,013 m;0,006 m
10*40CHC;10*40CHC;0,01 m;0,04 m;0,026 m;0,01 m;0,0015 m;0,016 m;0,008 m
5*40CHC;5*40CHC;0,005 m;0,04 m;0,016 m;0,005 m;0,0008 m;0,0085 m;0,004 m
16*150CHC;16*150CHC;0,016 m;0,15 m;0,044 m;0,016 m;0,002 m;0,024 m;0,014 m
4*16CHC;4*16CHC;0,004 m;0,016 m;0,016 m;0,004 m;0,0007 m;0,007 m;0,003 m
16*45CHC;16*45CHC;0,016 m;0,045 m;0,045 m;0,016 m;0,002 m;0,024 m;0,014 m
8*35CHC;8*35CHC;0,008 m;0,035 m;0,022 m;0,008 m;0,00125 m;0,013 m;0,006 m
12*50CHC;12*50CHC;0,012 m;0,05 m;0,03 m;0,012 m;0,00175 m;0,018 m;0,01 m
2*10CHC;2*10CHC;0,002 m;0,01 m;0,01 m;0,002 m;0,0004 m;0,0038 m;0,0015 m
16*180CHC;16*180CHC;0,016 m;0,18 m;0,18 m;0,016 m;0,002 m;0,024 m;0,014 m
10*50CHC;10*50CHC;0,01 m;0,05 m;0,026 m;0,01 m;0,0015 m;0,016 m;0,008 m
16*60CHC;16*60CHC;0,016 m;0,06 m;0,038 m;0,016 m;0,002 m;0,024 m;0,014 m
4*25CHC;4*25CHC;0,004 m;0,025 m;0,014 m;0,004 m;0,0007 m;0,007 m;0,003 m
12*70CHC;12*70CHC;0,012 m;0,07 m;0,03 m;0,012 m;0,00175 m;0,018 m;0,01 m
8*45CHC;8*45CHC;0,008 m;0,045 m;0,022 m;0,008 m;0,00125 m;0,013 m;0,006 m
6*35CHC;6*35CHC;0,006 m;0,035 m;0,018 m;0,006 m;0,001 m;0,01 m;0,005 m
10*65CHC;10*65CHC;0,01 m;0,065 m;0,026 m;0,01 m;0,0015 m;0,016 m;0,008 m
8*60CHC;8*60CHC;0,008 m;0,06 m;0,022 m;0,008 m;0,00125 m;0,013 m;0,006 m
3*16CHC;3*16CHC;0,003 m;0,016 m;0,012 m;0,003 m;0,0005 m;0,0055 m;0,0025 m
12*80CHC;12*80CHC;0,012 m;0,08 m;0,03 m;0,012 m;0,00175 m;0,018 m;0,01 m
3*20CHC;3*20CHC;0,003 m;0,02 m;0,012 m;0,003 m;0,0005 m;0,0055 m;0,0025 m
12*100CHC;12*100CHC;0,012 m;0,1 m;0,03 m;0,012 m;0,00175 m;0,018 m;0,01 m
16*120CHC;16*120CHC;0,016 m;0,12 m;0,038 m;0,016 m;0,002 m;0,024 m;0,014 m
10*20CHC;10*20CHC;0,01 m;0,02 m;0,02 m;0,01 m;0,0015 m;0,016 m;0,008 m
16*30CHC;16*30CHC;0,016 m;0,03 m;0,03 m;0,016 m;0,002 m;0,024 m;0,014 m
12*35CHC;12*35CHC;0,012 m;0,035 m;0,035 m;0,012 m;0,00175 m;0,018 m;0,01 m
10*35CHC;10*35CHC;0,01 m;0,035 m;0,035 m;0,01 m;0,0015 m;0,016 m;0,008 m
